assembly	accession	source
D.obscura.fa	GCA_018151105.1	PRJNA675888
D.ochracea.fa	GCA_035044125.1	PRJNA1020440
D.oshimai.fa	GCA_018150695.1	PRJNA675888
D.pallidosa.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.parabipectinata.fa	GCA_018153455.1	PRJNA675888
D.paracracens.fa	GCA_035044025.1	PRJNA1020440
D.paramelanica.fa	GCA_035043915.1	PRJNA1020440
D.paranaensis.fa	GCA_035047545.1	PRJNA1020440
D.parthenogenetica.fa	GCA_035047505.1	PRJNA1020440
D.paucipuncta.fa	GCA_035043875.1	PRJNA1020440
D.paulistorum.06.fa	GCA_018152135.1	PRJNA675888
D.paulistorum.12.fa	GCA_018151315.1	PRJNA675888
D.pegasa.fa	GCA_035046225.1	PRJNA1020440
D.peninsularis.fa	GCA_035047485.1	PRJNA1020440
D.percnosoma.fa	GCA_035043855.1	PRJNA1020440
D.persimilis.fa	GCA_018904465.1	PRJNA675888
D.phalerata.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.picticornis.fa	GCA_035043845.1	PRJNA1020440
D.planitibia.fa	GCA_035043785.1	PRJNA1020440
D.prosaltans.fa	GCA_018151275.1	PRJNA675888
D.prostipennis.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.pruinosa.fa	GCA_018150935.1	PRJNA675888
D.pseuan.nigrens.fa	GCA_018153145.1	PRJNA675888
D.pseuan.pseuan..fa	GCA_018153035.1	PRJNA675888
D.pseudoobscura.fa	GCA_018904455.1	PRJNA675888
D.pseudotakahashii.fa	GCA_035046095.1	PRJNA1020440
D.pseudotalamancana.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.pullipes.fa	GCA_035043795.1	PRJNA1020440
D.putrida.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.quadrilineata.fa	GCA_018150725.1	PRJNA675888
D.quasianomalipes.fa	GCA_035043665.1	PRJNA1020440
D.quinaria.fa	GCA_035047525.1	PRJNA1020440
D.recens.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.rellima.fa	GCA_035043635.1	PRJNA1020440
D.repleta.fa	GCA_018903745.1	PRJNA675888
D.repletoides.fa	GCA_018150835.1	PRJNA675888
D.rhopaloa.fa	GCA_018152115.1	PRJNA675888
D.robusta.fa	GCA_035043565.1	PRJNA1020440
D.rubida.fa	GCA_035046165.1	PRJNA1020440
D.rufa.fa	GCA_018153105.1	PRJNA675888
D.saltans.fa	GCA_018903575.1	PRJNA675888
D.sechellia.fa	GCA_018904445.1	PRJNA675888
D.seclusa.fa	GCA_035043575.1	PRJNA1020440
D.serrata.fa	GCA_035046125.1	PRJNA1020440
D.setosimentum.fa	GCA_035043505.1	PRJNA1020440
D.siamana.fa	GCA_035047445.1	PRJNA1020440
D.silvestris.fa	GCA_035043445.1	PRJNA1020440
D.sim.006.fa	GCA_018904415.1	PRJNA675888
D.sim.sz129.fa	xxx	Sarah
D.sim.sz232.fa	xxx	Sarah
D.sordidapex.fa	GCA_035043295.1	PRJNA1020440
D.sordidula.fa	GCA_035047465.1	PRJNA1020440
D.sp.14030-0761.01.fa	GCA_018150735.1	PRJNA675888
D.sp.st01m.fa	GCA_018901795.1	PRJNA675888
D.sproati.fa	GCA_018904355.1	PRJNA675888
D.stalkeri.fa	GCA_035047405.1	PRJNA1020440
D.sturtevanti.fa	GCA_018150375.1	PRJNA675888
D.subobscura.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.suboccidentalis.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.subpulchrella.fa	GCA_018150325.1	PRJNA675888
D.subquinaria.fa	GCA_018903505.1	PRJNA675888
D.subsilvestris.fa	GCA_035043285.1	PRJNA1020440
D.sucinea.fa	GCA_018150745.1	PRJNA675888
D.takahashii.fa	GCA_018152695.1	PRJNA675888
D.tanythrix.fa	GCA_035043275.1	PRJNA1020440
D.teissieri.273.3.fa	GCA_018903625.1	PRJNA675888
D.teissieri.ct02.fa	GCA_018903635.1	PRJNA675888
D.testacea.fa	GCA_035043265.1	PRJNA1020440
D.triauraria.fa	GCA_018151095.1	PRJNA675888
D.trichaetosa.fa	GCA_035043205.1	PRJNA1020440
D.tripunctata.fa	GCA_035047385.1	PRJNA1020440
D.tristis.fa	GCA_018150885.1	PRJNA675888
D.tropicalis.fa	GCA_018151085.1	PRJNA675888
D.ustulata.fa	GCA_035047365.1	PRJNA1020440
D.vallismaia.fa	GCA_035047325.1	PRJNA1020440
D.varians.fa	GCA_018150405.1	PRJNA675888
D.villosipedis.fa	GCA_035043025.1	PRJNA1020440
D.virilis.fa	GCA_018153695.1	PRJNA675888
D.willistoni.00.fa	GCA_018153465.1	PRJNA675888
D.willistoni.17.fa	GCA_018903445.1	PRJNA675888
D.yakuba.fa	GCA_035046025.1	PRJNA1020440
D.yooni.fa	GCA_035043035.1	PRJNA1020440
H.alboralis.fa	GCA_035043045.1	PRJNA1020440
H.confusa.fa	GCA_035043065.1	PRJNA1020440
H.duncani.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
H.guttata.fa	GCA_035045125.1	PRJNA1020440
H.histrioides.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
H.trivittata.fa	GCA_035045065.1	PRJNA1020440
L.aerea.fa	GCA_035045005.1	PRJNA1020440
L.andalusiaca.fa	GCA_035044965.1	PRJNA1020440
L.clarofinis.fa	GCA_018904275.1	PRJNA675888
L.collinella.fa	GCA_035044905.1	PRJNA1020440
L.maculata.fa	GCA_035044805.1	PRJNA1020440
L.magnipectinata.fa	GCA_018904285.1	PRJNA675888
L.mommai.fa	GCA_018904225.1	PRJNA675888
L.montana.fa	GCA_035044765.1	PRJNA1020440
L.stackelbergi.fa	GCA_018904235.1	PRJNA675888
L.varia.fa	GCA_018903435.1	PRJNA675888
S.caliginosa.fa	GCA_035044725.1	PRJNA1020440
S.cyrtandrae.fa	GCA_035044605.1	PRJNA1020440
S.graminum.fa	GCA_018901835.1	PRJNA675888
S.hsui.fa	GCA_018152825.1	PRJNA675888
S.latifasciaeformis.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
S.montana.fa	GCA_018904305.1	PRJNA675888
S.nigrithorax.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
S.pallida.fa	GCA_018152965.1	PRJNA675888
S.parva.fa	GCA_035044645.1	PRJNA1020440
S.polygonia.fa	GCA_035044585.1	PRJNA1020440
S.reducta.fa	GCA_035044485.1	PRJNA1020440
S.tumidula.fa	GCA_035044465.1	PRJNA1020440
Z.africanus.fa	GCA_018151435.1	PRJNA675888
Z.bogoriensis.fa	GCA_035046045.1	PRJNA1020440
Z.camerounensis.fa	GCA_018904165.1	PRJNA675888
Z.capensis.fa	GCA_018903675.1	PRJNA675888
Z.davidi.fa	GCA_018903715.1	PRJNA675888
Z.flavofinira.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
Z.gabonicus.fa	GCA_018903695.1	PRJNA675888
Z.ghesquierei.fa	GCA_018904095.1	PRJNA675888
Z.indianus.bs02.fa	GCA_018904605.1	PRJNA675888
Z.indianus.d18.fa	GCA_018159335.1	PRJNA675888
Z.indianus.r04.fa	GCA_018904595.1	PRJNA675888
Z.indianus.v01.fa	GCA_018903395.1	PRJNA675888
Z.inermis.fa	GCA_018151445.1	PRJNA675888
Z.kolodkinae.fa	GCA_018901885.1	PRJNA675888
Z.lachaisei.fa	GCA_018901815.1	PRJNA675888
Z.nigranus.fa	GCA_018903425.1	PRJNA675888
Z.ornatus.fa	GCA_018904035.1	PRJNA675888
Z.taronus.fa	GCA_018901805.1	PRJNA675888
Z.tsacasi.car7.fa	GCA_018151455.1	PRJNA675888
Z.tsacasi.jd01t.fa	GCA_018904105.1	PRJNA675888
Z.vittiger.fa	GCA_018904025.1	PRJNA675888
